trade_date,close,gk_rv,log_rv,rq,log_rq,signed_jump,vol_lag5,vol_lag22,ret_lag5,ret_lag22,abs_ret_lag1,regime_prob,regime_lag5,vol_x_regime
20210908,5.044,7.30511077679348e-05,-9.524351255365984,2.16013671146133e-08,-17.650509231915958,-0.01109897837172765,-9.459907294954478,-9.372762643989269,0.01901388213292421,-0.0007927071362390237,0.012516305245219517,0.9572422320756835,0.9970903957069083,-9.117111254759372
20210909,5.042,3.1477155207395015e-05,-10.366248506751546,2.1601286574748027e-08,-17.650512960384393,-0.010810125986726635,-9.525006083250876,-9.443227111074636,0.01942586369105248,-0.012417622850900978,0.004154719597973644,0.9355949676981882,0.9851292255279733,-9.698609936825605
20210910,5.091,0.00012362457264259629,-8.998261224912337,2.3171405398669165e-08,-17.580346844378347,0.010967837231942711,-9.387665124853125,-9.392160105914765,0.034572331126198064,0.0025567916377122746,0.0003965893369450857,0.9374176578214414,0.9821897763979139,-8.435128961922818
20210913,5.064,9.982080812008073e-05,-9.212133898182383,6.8776818239438065e-09,-18.794984185973824,-0.010941831147252041,-9.388503696735473,-9.346559044030288,0.01231885238644792,0.003560834623009157,0.009671446154470908,0.9264281194131466,0.9817479059291975,-8.534379883075205
20210914,4.998,0.00014943752208208583,-8.808632164977706,7.893319748338143e-09,-18.657249036672223,-0.011248902283500114,-9.38192541003799,-9.333143031706548,-0.013316305287885966,-0.004192878260035782,0.005317590078323775,0.9022976245647119,0.9777469752439906,-7.948007878123699
20210915,4.945,7.986642594464132e-05,-9.435154994444364,1.0417177069778141e-08,-18.379809751933806,-0.011468698345134231,-9.364086157853666,-9.297564595310526,-0.019822453027997566,-0.01425583825594412,0.01311885242911437,0.8001195053799155,0.9572422320756835,-7.549251547337664
20210916,4.889,6.309929391816772e-05,-9.67080097836612,1.3782288190436596e-08,-18.099881533590302,-0.010669822978174528,-9.224996652176582,-9.362116506244499,-0.030815045169219513,-0.0030634150374018176,0.010660867338085245,0.6681874176713257,0.9355949676981882,-6.461907532547788
20210917,4.928,6.50192652825821e-05,-9.640826943020366,1.2829539814982466e-08,-18.171515526851262,0.010549626767175507,-9.353509795798187,-9.395822783912111,-0.032541048688980334,-0.005867492807218211,0.011389181478167032,0.5572592957887813,0.9374176578214414,-5.3724404330890385
20210922,4.895,5.5633183997929734e-05,-9.79673070024747,1.3077226163867197e-08,-18.152393580389372,-0.0105447957510506,-9.470429156211205,-9.399220269531892,-0.033942408859401585,-0.0057038247935898845,0.007945442634710087,0.45860340315692616,0.9264281194131466,-4.4928140389454265
20210923,4.924,4.860232689827174e-05,-9.931839149638705,7.3967371361379855e-09,-18.722226861522344,0.009795947925106515,-9.695070553143404,-9.469982801973085,-0.01491662409055361,0.018653815459260148,0.006718950248745026,0.39322600722721307,0.9022976245647119,-3.905457453235347
