Date,Open,High,Low,Close,Volume
20200121 00:00,122000,122500,120400,120800,31787474
20200122 00:00,117000,118400,116500,117700,78133556
20200123 00:00,117500,117500,113200,113500,76534796
20200203 00:00,102200,106900,102200,104700,95367382
20200204 00:00,105100,107400,104800,106600,66783767
20200205 00:00,106900,107800,105800,107000,45046658
20200206 00:00,108100,108600,106500,107900,38023801
20200207 00:00,107300,109100,106700,108600,31896956
20200210 00:00,107600,108400,107100,107700,34032121
20200211 00:00,108200,109500,107800,108600,34856302
20200212 00:00,108400,108800,107600,108600,26313927
20200213 00:00,108200,108800,107600,107600,22630613
20200214 00:00,107600,108800,107400,108600,22360549
20200217 00:00,108800,112100,108600,111800,41343320
20200218 00:00,110900,111800,110400,110600,30162703
20200219 00:00,110800,112400,110400,111100,25100157
20200220 00:00,111700,112700,110600,112300,36656416
20200221 00:00,112300,113900,112100,113000,38949418
20200224 00:00,112300,113400,111000,111600,44738622
20200225 00:00,110700,111500,110100,110900,48324564
20200226 00:00,110100,113300,110100,112000,51906287
20200227 00:00,112000,113000,111300,112100,33029824
20200228 00:00,111100,111800,108500,108500,50137988
20200302 00:00,109500,111000,109200,110400,39245056
20200303 00:00,111300,112300,110400,110600,39332460
20200304 00:00,110100,111000,109500,110300,34628358
20200305 00:00,110800,113200,110300,113200,73047882
20200306 00:00,112300,112800,111100,111200,41587820
20200309 00:00,110000,110000,107500,107800,59495242
20200310 00:00,107100,109600,107000,108700,44761737
20200311 00:00,109300,109300,107700,107700,31688826
20200312 00:00,107500,107500,106100,106400,32632350
20200313 00:00,104000,107300,102800,107000,57457109
20200316 00:00,107000,107800,105000,105100,47649924
20200317 00:00,106800,106900,102900,104300,42139008
20200318 00:00,104000,105000,102000,102100,33176646
20200319 00:00,101900,103400,98600,99400,55707113
20200320 00:00,101200,101800,99600,100900,42609358
20200323 00:00,99500,99500,98200,98400,28286030
20200324 00:00,100300,101300,99800,100600,28990754
20200325 00:00,102000,102700,101200,101500,32172278
20200326 00:00,101000,103700,100800,102300,30921803
20200327 00:00,103500,103800,102000,102400,27107951
20200330 00:00,101800,102800,101100,102800,26046018
20200331 00:00,103000,103600,101300,101500,26144854
20200401 00:00,101100,102600,100900,100900,22479192
20200402 00:00,100900,102000,100700,102000,17042135
20200403 00:00,101300,102100,101200,101500,14842382
20200407 00:00,103000,103300,102300,102800,23825611
20200408 00:00,102500,102900,101800,102400,17952255
20200409 00:00,102600,102900,101800,102000,13569586
20200410 00:00,102200,102400,101500,102100,16625528
20200413 00:00,101500,102200,101000,101100,11966986
20200414 00:00,101700,102500,101200,102500,17792926
20200415 00:00,102000,102700,101500,101800,14945608
20200416 00:00,101000,101800,101000,101600,14403197
20200417 00:00,101800,102300,101500,102000,22744411
20200420 00:00,101500,101900,100900,101100,23503715
20200421 00:00,100700,101200,100100,100300,17557525
20200422 00:00,100200,100700,99800,100700,15802441
20200423 00:00,101000,101000,100100,100600,16878643
20200424 00:00,100600,100900,100100,100600,16973113
20200427 00:00,101500,104200,101500,103400,50342806
20200428 00:00,103600,103800,102200,103300,29222578
20200429 00:00,103500,106100,103300,106100,35056836
20200430 00:00,105800,107900,105600,106300,30906971
20200506 00:00,104400,104900,103600,104600,41378362
20200507 00:00,104500,104600,103700,103900,26211656
20200508 00:00,104400,104900,104000,104400,20927670
20200511 00:00,104400,105400,104200,104300,21472495
20200512 00:00,104400,104800,103400,103400,19405945
20200513 00:00,103100,103900,102800,103800,15574310
20200514 00:00,103200,103600,102700,103000,15892376
20200515 00:00,103600,103800,102600,102800,13753770
20200518 00:00,102800,104300,102500,103200,15675941
20200519 00:00,104500,104500,103400,103500,12576997
20200520 00:00,103700,104200,103300,104100,20046300
20200521 00:00,104400,104400,103300,103300,14361684
20200522 00:00,103000,103400,101400,101400,23722915
20200525 00:00,103000,103100,101300,102700,15722012
20200526 00:00,103200,103200,102500,102700,14372249
20200527 00:00,102800,103800,102500,103500,20145712
20200528 00:00,103600,105500,103600,105300,38263189
20200529 00:00,104500,105700,104500,105700,30659227
20200601 00:00,106300,107200,105700,106500,28612841
20200602 00:00,105800,107400,105800,106800,25922545
20200603 00:00,107500,108700,107000,107000,27352188
20200604 00:00,108000,108000,106400,106400,17559033
20200605 00:00,106800,106900,105600,106700,20958291
20200608 00:00,106400,107200,106000,106100,18251152
20200609 00:00,106200,107200,105800,106800,17263160
20200610 00:00,107100,107100,105800,105800,16693480
20200611 00:00,105800,106100,104500,104800,25171455
20200612 00:00,105800,105800,104300,105500,25514482
20200615 00:00,104100,104900,103500,103500,25497883
20200616 00:00,104400,105000,104000,104500,17682742
20200617 00:00,104400,105100,104300,104700,16148594
20200618 00:00,104200,105700,103900,105000,20856551
20200619 00:00,105600,106800,105000,106100,39814479
20200622 00:00,105700,106600,105300,105500,24611903
20200623 00:00,105100,105700,104700,104800,19602212
20200624 00:00,105400,106100,105000,106000,22873884
20200629 00:00,106300,107300,104900,105700,27875619
20200630 00:00,105900,106400,105400,105800,22886764
20200701 00:00,105900,107600,105500,107400,36690710
20200702 00:00,107300,110500,107000,110500,60951268
20200703 00:00,110800,112600,110200,111900,82238477
20200706 00:00,113000,123100,112900,122000,149558001
20200707 00:00,124500,126900,121000,121100,131469759
20200708 00:00,121700,124400,120300,121400,104879230
20200709 00:00,122600,122600,119400,119900,91311738
20200710 00:00,119800,120900,115500,116000,78611864
20200713 00:00,116000,118500,115600,116600,96564333
20200714 00:00,116100,116900,113300,113800,79944260
20200715 00:00,114700,114700,111400,111800,92438310
20200716 00:00,112500,114800,112000,112000,96614162
20200717 00:00,113700,113900,111700,112700,68639480
20200720 00:00,113200,115700,112700,115200,78766518
20200721 00:00,115900,116100,114000,115400,55004587
20200722 00:00,115500,117500,115000,116200,98687637
20200723 00:00,109900,109900,106100,108400,86806896
20200724 00:00,107800,108000,104000,104200,72886391
20200727 00:00,105500,105500,103200,103700,44655910
20200728 00:00,104600,105400,103500,103900,32599274
20200729 00:00,103500,105400,103200,105100,45256602
20200730 00:00,105100,105300,104000,104000,40443481
20200731 00:00,104100,105200,103100,103600,65368427
20200803 00:00,104000,104800,103700,104100,56272005
20200804 00:00,104600,107200,104300,106600,88522454
20200805 00:00,106400,106400,104500,105100,46011280
20200806 00:00,105700,106300,104100,105300,42484232
20200807 00:00,105100,105300,103600,104300,44271966
20200810 00:00,104200,105700,103900,105200,48973967
20200811 00:00,105800,106800,104500,104700,63673224
20200812 00:00,104900,106000,104600,105600,43268629
20200813 00:00,106000,106100,105000,105100,25798477
20200814 00:00,105300,106000,104800,105900,37584530
20200817 00:00,105900,109800,105700,108400,98742699
20200818 00:00,108500,108500,106300,106900,54091961
20200819 00:00,106900,107400,105700,105800,43448106
20200820 00:00,105600,105700,104300,104700,53539028
20200821 00:00,105600,105600,104500,105000,31451520
20200824 00:00,105700,105700,104400,104600,38982822
20200825 00:00,104800,105100,104100,104500,37897250
20200826 00:00,104400,104500,103500,103700,39278732
20200827 00:00,103800,104000,103200,103500,30462492
20200828 00:00,103500,104600,103100,104600,53131203
20200831 00:00,104600,105100,103200,103600,80037356
20200901 00:00,103100,103600,102600,102900,53931233
20200902 00:00,102800,102900,101200,101800,56787081
20200903 00:00,101900,102300,101100,101200,40832020
20200904 00:00,100700,101500,100100,100700,38443982
20200907 00:00,100700,101600,100100,100100,58564585
20200908 00:00,100700,100900,100100,100500,52972540
20200909 00:00,100100,100800,100000,100100,49418500
20200910 00:00,100600,100600,99400,99600,54169916
20200911 00:00,99500,99600,98500,99200,49947642
20200914 00:00,99500,99500,98600,99000,38851230
20200915 00:00,99100,99200,98500,98600,46601549
20200916 00:00,98700,99000,98000,98600,51470657
20200917 00:00,98700,98900,98000,98300,43171675
20200918 00:00,98400,99400,98000,99400,95230581
20200921 00:00,99400,99700,98300,98400,55998716
20200922 00:00,98100,98400,96900,97000,65952098
20200923 00:00,97100,97200,96200,96300,41909587
20200924 00:00,96100,96200,94600,95000,53858739
20200925 00:00,95000,95300,94600,94700,29487505
20200928 00:00,94900,95300,94600,94600,26257827
20200929 00:00,95000,95200,94300,94300,32988266
20200930 00:00,94500,94900,93500,93900,39006807
20201009 00:00,94400,94800,94000,94200,39772687
20201012 00:00,94500,96300,94200,95900,66671637
20201013 00:00,95800,95900,95200,95400,28059097
20201014 00:00,95400,95600,95000,95300,42969217
20201015 00:00,95400,97200,95300,96200,66146732
20201016 00:00,96100,97700,96000,97200,74850236
20201019 00:00,97300,99300,96400,96500,84532385
20201020 00:00,96300,96500,95100,95800,46687029
20201021 00:00,95800,97000,95100,97000,61622129
20201022 00:00,96700,97600,95900,96500,47288884
20201023 00:00,96300,97900,96200,97000,70954476
20201026 00:00,97200,97500,95900,96000,52711443
20201027 00:00,95900,95900,94800,94800,38062780
20201028 00:00,94800,95200,93800,94000,45881367
20201029 00:00,93500,94500,93400,93700,43707348
20201030 00:00,93800,94500,92500,92600,56060864
20201102 00:00,92800,93300,92200,92500,46542251
20201103 00:00,93100,94000,92800,93000,67876111
20201104 00:00,93500,94000,92800,93400,50256088
20201105 00:00,94600,94600,93300,93600,55873229
20201106 00:00,93700,94300,93300,93900,63919592
20201109 00:00,94200,94800,93900,94300,88937655
20201110 00:00,94700,95900,94400,94600,84217864
20201111 00:00,94900,95800,94400,95600,64171805
20201112 00:00,95200,95300,94300,94300,51891050
20201113 00:00,94100,94100,93300,93600,44910112
20201116 00:00,93800,94600,93700,94500,31878052
20201117 00:00,94600,95300,94400,95300,47293970
20201118 00:00,95300,97700,95000,97000,109417513
20201119 00:00,97000,97800,96400,97400,63840056
20201120 00:00,96800,97200,96100,96700,46631360
20201123 00:00,96600,99200,96300,99000,92618240
20201124 00:00,99200,99700,98200,98500,61221709
20201125 00:00,99000,99900,98100,98100,61216111
20201126 00:00,98400,99900,97600,99800,71595543
20201127 00:00,100100,102000,99600,102000,113388037
20201130 00:00,103000,105300,100600,100600,203498922
20201201 00:00,100800,103500,100100,103000,107812159
20201202 00:00,102600,103900,101900,102500,78702779
20201203 00:00,102300,102800,101600,102400,57195735
20201204 00:00,102400,102500,100500,101700,47336450
20201207 00:00,101100,101700,99000,99900,57810545
20201208 00:00,99700,100600,99300,99800,31522398
20201209 00:00,99800,100900,99100,99100,44090061
20201210 00:00,99100,99600,97600,98200,39400878
20201211 00:00,98400,98800,96900,97000,48386569
20201214 00:00,97500,98000,96800,97500,38743836
20201215 00:00,97300,97400,96000,97100,39323070
20201216 00:00,97200,97800,96400,96500,47998904
20201217 00:00,96400,97900,95900,97700,42901555
20201218 00:00,97400,97900,96900,97600,31884462
20201221 00:00,97000,97700,96500,97500,31965504
20201222 00:00,97500,97500,95500,96100,50418001
20201223 00:00,96000,96400,94800,95500,38656338
20201224 00:00,95500,96600,95100,95500,24871912
20201225 00:00,95600,96100,95100,95800,22420976
20201228 00:00,95500,96300,95000,95700,33765935
20201229 00:00,95900,96200,95200,95300,44150648
20201230 00:00,95200,95400,94400,95000,54885564
20201231 00:00,95100,96900,94900,96800,65992362
20210104 00:00,96400,97300,95500,96900,62906939
20210105 00:00,96800,96800,95200,96800,53859177
20210106 00:00,96200,98300,96200,98200,61881321
20210107 00:00,98300,99300,96600,98100,57090442
20210108 00:00,98300,99000,97300,98300,55801455
20210111 00:00,98300,99400,96800,96900,75984056
20210112 00:00,97000,97900,95800,97800,56732878
20210113 00:00,97500,98800,97200,98400,57145173
20210114 00:00,98300,99600,97600,98700,55338565
20210115 00:00,99800,102300,99200,99200,143067603
20210118 00:00,99200,101200,98700,100800,96389498
20210119 00:00,100700,102200,99800,101600,82816180
20210120 00:00,101300,101800,99600,99800,66608913
20210121 00:00,99900,100700,99300,99700,53622907
20210122 00:00,99600,99700,97600,97900,61879785
20210125 00:00,97700,97800,96700,97200,51705648
20210126 00:00,96900,97800,96600,96800,39877611
20210127 00:00,96700,98800,96600,97300,55174457
20210128 00:00,97300,97400,96100,96600,52360924
20210129 00:00,96900,101300,96500,99600,115257482
20210201 00:00,99400,104800,99000,104400,181883788
20210202 00:00,103500,104700,101500,102200,131403970
20210203 00:00,101900,104300,100600,102600,131150745
20210204 00:00,102100,104100,101200,102800,92016450
20210205 00:00,102800,108200,102500,107200,195506162
20210208 00:00,107100,108100,105100,107200,137089506
20210209 00:00,107000,107400,105400,106800,99871998
20210210 00:00,106700,108500,105600,106900,105092241
20210218 00:00,108000,110200,107400,108300,143397923
20210219 00:00,108300,111200,107700,109700,122926300
20210222 00:00,109200,109500,107000,107100,127379414
20210223 00:00,107100,109900,107100,107800,93327786
20210224 00:00,108100,108900,105500,106000,97783999
20210225 00:00,106600,108500,106000,108000,89855495
20210226 00:00,107200,108200,105400,105400,85386093
20210301 00:00,105900,106400,105000,105800,54746126
20210302 00:00,106100,107000,103600,104700,74763149
20210303 00:00,104500,109200,104300,109200,113570860
20210304 00:00,108000,109200,107600,108800,75412865
20210305 00:00,108700,109400,106900,108600,72154782
20210308 00:00,109800,110200,107100,107500,80153097
20210309 00:00,107800,109000,106500,107300,83584061
20210310 00:00,107600,107900,106300,107200,50512161
20210311 00:00,108000,109700,107600,109000,76816962
20210312 00:00,108900,110300,108200,109000,79235629
20210315 00:00,108800,112400,108800,111200,113524449
20210316 00:00,110500,112400,110100,111100,65502259
20210317 00:00,111000,111200,108900,109200,57821851
20210318 00:00,109700,110500,109000,110300,50943550
20210319 00:00,110100,110500,105600,106500,103359887
20210322 00:00,106200,108800,106200,107500,66031003
20210323 00:00,107600,108300,106800,107800,47127710
20210324 00:00,107700,108100,106300,106800,44132642
20210325 00:00,107200,107800,106100,106300,43547662
20210326 00:00,106800,107300,106100,106200,40882734
20210329 00:00,106000,106000,104000,104800,92366772
20210330 00:00,106500,110100,106200,110100,173447215
20210331 00:00,110100,110400,108700,109900,66813691
20210401 00:00,109900,110100,108100,108900,47781207
20210402 00:00,109400,109500,106700,107600,65365057
20210406 00:00,107600,107900,106800,107000,33911224
20210407 00:00,107400,107500,105800,106500,60988540
20210408 00:00,106300,107000,105600,106600,42047850
20210409 00:00,106400,106400,105300,105900,38683022
20210412 00:00,105800,107500,105200,107300,57023744
20210413 00:00,107400,108200,106700,107600,52756234
20210414 00:00,108200,108200,105700,105900,45686754
20210415 00:00,105800,106100,103800,104300,53172372
20210416 00:00,104500,105500,104200,105400,32895624
20210419 00:00,105500,106400,104500,105800,50203914
20210420 00:00,105500,105800,104800,105000,29450563
20210421 00:00,104700,106200,104600,105800,45439718
20210422 00:00,106000,106000,104000,104300,41793378
20210423 00:00,104200,104700,103800,104300,24825285
20210426 00:00,104500,105000,102800,103000,46387212
20210427 00:00,103300,103400,102400,102700,25042540
20210428 00:00,103300,103300,101800,102500,35321183
20210429 00:00,102800,105500,102600,105400,48194627
20210430 00:00,102800,102800,99600,100500,156103445
20210506 00:00,99700,101800,99700,101000,61139167
20210507 00:00,101000,101500,99900,100300,72345288
20210510 00:00,100600,100600,98800,99500,61516454
20210511 00:00,99200,100700,99000,100500,42333780
20210512 00:00,100400,102000,100200,101200,52012085
20210513 00:00,100900,101700,100100,100900,47212565
20210514 00:00,101000,102000,100300,101900,47681403
20210517 00:00,102000,102900,101300,102100,46363314
20210518 00:00,101800,102300,101500,102200,19093505
20210519 00:00,101900,102000,100700,101200,29273907
20210520 00:00,101000,101800,100200,101600,35395264
20210521 00:00,102000,102200,100700,100900,28618932
20210524 00:00,100800,101400,100500,100900,23518901
20210525 00:00,101000,103300,100600,103200,75417564
20210526 00:00,103100,104200,102800,103500,54984815
20210527 00:00,103200,104300,102600,102900,52063330
20210528 00:00,103300,103600,102500,103500,34593293
20210531 00:00,103400,103400,102200,102700,37255726
20210601 00:00,102300,102600,101800,101900,41880384
20210602 00:00,102100,102300,101300,102200,35830478
20210603 00:00,102100,103200,101800,102300,52244908
20210604 00:00,102500,103800,101900,102300,71052432
20210607 00:00,102600,102700,102000,102300,36301400
20210608 00:00,102400,103300,101800,103100,50838116
20210609 00:00,102900,103500,102100,102100,56095091
20210610 00:00,102100,103100,102000,102300,45685432
20210611 00:00,102400,102800,101100,101700,58030251
20210615 00:00,101500,101500,100100,100300,46955773
20210616 00:00,100400,101400,100100,100500,32171081
20210617 00:00,100500,101200,100300,100400,29689848
20210618 00:00,100400,101000,100000,101000,44451210
20210621 00:00,100600,100900,100100,100400,39815744
20210622 00:00,100600,101200,100000,100000,45184564
20210623 00:00,100100,100300,99600,99900,34400099
20210624 00:00,100000,100500,99700,100200,31652661
20210625 00:00,100200,101100,100100,100800,48335388
20210628 00:00,100600,100700,99900,100100,32597114
20210629 00:00,100100,100400,99800,99800,32733370
