ts_code,trade_date,name,close,pct_change,vol,amount,pe,pb,total_mv
801982.SI,20031209,化妆品,585.29,-0.32,26.0,241.0,22.87,2.16,255150.0
801981.SI,20031209,个护用品,667.63,0.0,30.0,128.0,323.33,2.56,99997.0
801980.SI,20031209,美容护理,769.79,-0.36,82.0,539.0,29.51,2.01,454598.0
801972.SI,20031209,环保设备Ⅱ,608.38,0.52,144.0,1808.0,49.89,2.75,380675.0
801971.SI,20031209,环境治理,872.63,0.52,1394.0,9827.0,47.18,2.93,5708864.0
801970.SI,20031209,环保,842.52,0.52,1537.0,11635.0,47.41,2.92,6089538.0
801963.SI,20031209,炼化及贸易,1479.27,1.05,8040.0,39715.0,29.2,2.76,36040502.0
801962.SI,20031209,油服工程,1154.73,0.84,306.0,2258.0,61.26,3.06,2096698.0
801960.SI,20031209,石油石化,1379.3,0.97,8980.0,45956.0,31.17,2.68,38755980.0
801952.SI,20031209,焦炭Ⅱ,1171.89,1.27,558.0,6002.0,31.44,3.38,768650.0
801951.SI,20031209,煤炭开采,886.01,0.67,3215.0,23885.0,32.43,2.55,6343034.0
801950.SI,20031209,煤炭,920.7,0.76,3773.0,29887.0,32.27,2.64,7111684.0
801783.SI,20031209,股份制银行Ⅱ,678.29,-1.16,7117.0,62349.0,27.44,3.43,16458605.0
801769.SI,20031209,出版,854.0,0.53,1716.0,11351.0,51.85,2.68,1453114.0
801767.SI,20031209,数字媒体,773.6,0.53,362.0,2000.0,118.48,3.09,600320.0
801766.SI,20031209,影视院线,741.4,1.03,559.0,4071.0,48.69,2.31,897462.0
801765.SI,20031209,广告营销,1552.68,1.99,1204.0,11596.0,83.09,4.09,1510891.0
801764.SI,20031209,游戏Ⅱ,911.33,0.58,616.0,3539.0,45.62,3.56,888260.0
801745.SI,20031209,军工电子Ⅱ,555.67,0.7,185.0,1330.0,85.57,1.74,560520.0
801738.SI,20031209,电网设备,559.79,0.48,1922.0,11007.0,42.27,3.25,3584951.0
801737.SI,20031209,电池,915.33,0.34,401.0,2116.0,68.02,2.59,1335988.0
801736.SI,20031209,风电设备,612.0,-1.92,156.0,1703.0,44.54,2.61,252836.0
801735.SI,20031209,光伏设备,878.32,0.47,357.0,2730.0,29.13,2.24,1019266.0
801726.SI,20031209,工程咨询服务Ⅱ,854.26,-0.62,173.0,661.0,138.91,1.46,166061.0
801219.SI,20031209,酒店餐饮,804.49,-0.85,535.0,4108.0,143.71,2.65,912294.0
801218.SI,20031209,专业服务,499.16,4.03,73.0,368.0,44.4,1.74,144701.0
801183.SI,20031209,房地产服务,1067.54,1.5,218.0,1356.0,29.25,7.1,401431.0
801179.SI,20031209,铁路公路,1029.69,-0.23,2719.0,19855.0,28.8,2.13,13978617.0
801133.SI,20031209,饰品,1399.06,-0.1,175.0,1389.0,140.12,4.63,989155.0
801129.SI,20031209,调味发酵品Ⅱ,831.31,-0.61,194.0,1069.0,63.38,2.01,939343.0
801128.SI,20031209,休闲食品,543.1,-2.22,211.0,1121.0,,4.09,94121.0
801127.SI,20031209,饮料乳品,879.5,0.27,575.0,4531.0,27.25,2.48,2379828.0
801126.SI,20031209,非白酒,861.93,-0.21,532.0,4316.0,38.95,2.35,2966769.0
801125.SI,20031209,白酒Ⅱ,738.21,0.25,774.0,5793.0,23.41,2.08,4212435.0
801116.SI,20031209,家电零部件Ⅱ,677.26,-0.66,31.0,168.0,50.68,1.98,266438.0
801115.SI,20031209,照明设备Ⅱ,1194.32,-0.62,42.0,466.0,19.27,1.93,434883.0
801104.SI,20031209,软件开发,973.61,1.66,1905.0,20063.0,61.15,3.41,2271601.0
801103.SI,20031209,IT服务Ⅱ,838.08,0.42,780.0,8975.0,35.64,3.65,3648160.0
801096.SI,20031209,商用车,1629.14,0.38,2624.0,24768.0,25.56,2.86,5006138.0
801095.SI,20031209,乘用车,1992.53,-0.04,1547.0,20076.0,17.22,3.92,6416871.0
801078.SI,20031209,自动化设备,1122.37,0.06,73.0,811.0,105.88,5.07,460169.0
801077.SI,20031209,工程机械,1861.3,-0.13,914.0,8542.0,19.61,3.28,2740376.0
801056.SI,20031209,能源金属,634.68,0.58,50.0,317.0,131.5,3.16,178044.0
801045.SI,20031209,特钢Ⅱ,975.0,1.58,1072.0,5715.0,21.57,1.79,1590909.0
801044.SI,20031209,普钢,1850.09,1.48,8876.0,61263.0,12.46,2.1,21219185.0
801043.SI,20031209,冶钢原料,1063.1,0.65,857.0,5729.0,18.43,1.61,1573049.0
801038.SI,20031209,农化制品,916.65,0.75,1405.0,9356.0,29.43,2.59,2991936.0
801995.SI,20031208,电视广播Ⅱ,720.39,-0.59,230.0,2612.0,52.44,2.34,2120783.0
801994.SI,20031208,教育,765.06,-1.76,104.0,993.0,31.77,3.74,664934.0
801993.SI,20031208,旅游及景区,696.94,-2.37,380.0,2713.0,66.34,2.25,1431921.0
801992.SI,20031208,航运港口,1415.9,-1.41,2601.0,22265.0,30.34,3.23,6741423.0
801991.SI,20031208,航空机场,1083.31,-0.43,3792.0,22109.0,34.65,2.42,6937345.0
801982.SI,20031208,化妆品,587.15,-1.97,32.0,300.0,22.94,2.16,255960.0
801981.SI,20031208,个护用品,667.63,-2.24,32.0,140.0,323.33,2.56,99997.0
801980.SI,20031208,美容护理,772.61,-2.24,78.0,537.0,29.62,2.02,456183.0
801972.SI,20031208,环保设备Ⅱ,605.24,-0.3,165.0,1756.0,49.63,2.74,378733.0
801971.SI,20031208,环境治理,868.13,-0.79,2296.0,15255.0,46.87,2.92,5663605.0
801970.SI,20031208,环保,838.18,-0.75,2461.0,17011.0,47.1,2.9,6042338.0
801963.SI,20031208,炼化及贸易,1463.87,0.65,13863.0,64516.0,28.9,2.73,35515845.0
