trade_date,ts_code,sector,total_mv,pb,momentum_20d
20190104,600562.SH,国防军工,845152.2764,4.7812,-0.0679
20190104,600590.SH,国防军工,502453.2947,1.3127,-0.0236
20190104,600592.SH,机械设备,223749.9998,1.2236,-0.0620
20190104,600610.SH,化工,214254.9210,160.9094,0.1173
20190104,600667.SH,建筑装饰,1097325.0827,1.7613,-0.1214
20190104,600679.SH,汽车,409438.5280,3.0303,-0.1171
20190104,600699.SH,汽车,2040971.3500,1.4229,-0.0851
20190104,600728.SH,计算机,1125058.9972,3.4161,-0.1180
20190104,600743.SH,房地产,588871.3194,0.7981,-0.0309
20190104,600756.SH,计算机,501056.6721,2.2604,-0.0498
20190104,600815.SH,机械设备,292485.8466,6.6545,-0.0729
20190104,600820.SH,建筑装饰,2037374.2689,1.0230,0.0946
20190104,600841.SH,汽车,579815.4963,1.5651,-0.1139
20190104,600845.SH,计算机,2009035.0589,3.1124,0.0631
20190104,600873.SH,化工,1293000.8158,1.4645,-0.0165
20190104,600877.SH,电子,308589.6360,,0.0045
20190104,600883.SH,农林牧渔,147082.8240,2.2224,-0.0878
20190104,600893.SH,国防军工,5003654.0568,1.9157,-0.0576
20190104,600903.SH,公用事业,1678822.9148,7.2318,-0.1424
20190104,600929.SH,化工,750720.4391,3.1999,-0.0308
20190104,600960.SH,汽车,337433.0089,0.6611,-0.1627
20190104,600990.SH,国防军工,561265.5419,2.6379,-0.0439
20190104,601058.SH,汽车,624037.4270,0.9674,-0.0533
20190104,601068.SH,建筑装饰,1597896.0002,1.8901,-0.0476
20190104,601186.SH,建筑装饰,15046131.9820,1.0442,0.0064
20190104,601326.SH,交通运输,1776797.0160,1.2626,-0.0245
20190104,601500.SH,汽车,477585.8388,1.8112,-0.0850
20190104,601519.SH,计算机,703645.8000,5.2375,-0.0354
20190104,601633.SH,汽车,5156906.9850,1.0051,-0.0828
20190104,601668.SH,建筑装饰,24057504.9627,1.1212,-0.0450
