ts_code,end_date,ann_date,roe,roa,roic,grossprofit_margin,current_ratio,quick_ratio,netprofit_margin,debt_to_assets,assets_turn,accruals_ratio
000055.SZ,20250930,20251029,0.2602,0.1217,0.1582,1.55,0.5269,0.3688,0.62,53.24,0.1918,13.223
000055.SZ,20250930,20251029,0.2602,0.1217,0.1582,1.55,0.5269,0.3688,0.62,53.24,0.1918,13.223
000055.SZ,20250630,20250823,0.283,0.1325,0.1722,2.71,0.5279,0.3695,1.08,53.2,0.1198,16.4037
000055.SZ,20250331,20250422,0.5376,0.2557,0.3324,10.95,0.5442,0.3809,4.38,52.44,0.0567,10.5033
000056.SZ,20250930,20251025,,,,-184.98,-0.3024,-0.2117,-73.99,201.63,0.6538,-1.0652
000056.SZ,20250630,20250827,-69.9788,-1.047,-1.3611,-173.51,0.0091,0.0064,-69.41,98.5,0.0364,-1.5463
000056.SZ,20250331,20250430,-25.9064,-0.7459,-0.9696,-171.04,0.0178,0.0125,-68.42,97.12,0.0163,-1.6029
000056.SZ,20241231,20250426,-94.7366,-3.7863,-4.9222,-248.22,0.025,0.0175,-99.29,96.0,0.0783,-1.4941
000058.SZ,20250930,20251030,4.5419,2.2647,2.9442,21.08,0.5967,0.4177,8.43,50.14,0.2408,0.4218
000058.SZ,20250630,20250829,2.3421,1.1388,1.4804,18.86,0.5678,0.3975,7.54,51.38,0.1477,-0.5558
000058.SZ,20250331,20250426,1.1342,0.5661,0.736,17.41,0.598,0.4186,6.96,50.09,0.0711,2.5215
000058.SZ,20241231,20250328,1.8717,0.9139,1.188,7.33,0.5725,0.4007,2.93,51.17,0.3277,-5.377
000059.SZ,20250930,20251029,-12.9275,-5.6709,-7.3722,-11.39,0.4689,0.3282,-4.56,56.13,1.153,1.7298
000059.SZ,20250630,20250813,-9.0102,-3.662,-4.7607,-12.22,0.4108,0.2876,-4.89,59.36,0.7252,2.0776
000059.SZ,20250331,20250425,-3.0229,-1.2509,-1.6262,-9.25,0.4236,0.2965,-3.7,58.62,0.3239,15.1328
000059.SZ,20241231,20250416,-21.6922,-9.3668,-12.1768,-20.54,0.456,0.3192,-8.22,56.82,1.154,-1.1642
000060.SZ,20250930,20251029,5.485,1.896,2.4648,4.6,0.317,0.2219,1.84,65.43,1.0072,-1.4709
000060.SZ,20250930,20251029,5.485,1.896,2.4648,4.6,0.317,0.2219,1.84,65.43,1.0072,-1.4709
000060.SZ,20250630,20250830,3.821,1.3578,1.7651,4.91,0.3307,0.2315,1.96,64.47,0.661,-0.2887
000060.SZ,20250331,20250430,1.9062,0.7028,0.9136,4.76,0.3504,0.2453,1.91,63.13,0.3411,2.0771
000061.SZ,20250930,20251028,3.5867,1.65,2.145,18.29,0.5112,0.3578,7.32,54.0,0.2293,-1.1395
000061.SZ,20250930,20251028,3.5867,1.65,2.145,18.29,0.5112,0.3578,7.32,54.0,0.2293,
000061.SZ,20250630,20250820,3.0019,1.2255,1.5931,19.52,0.4139,0.2897,7.81,59.18,0.1595,-2.4452
000061.SZ,20250331,20250429,1.1725,0.4654,0.6051,17.15,0.395,0.2765,6.86,60.3,0.0696,-3.3075
000062.SZ,20250930,20251029,5.2202,2.4406,3.1728,6.03,0.5268,0.3688,2.41,53.25,1.0324,0.0324
000062.SZ,20250630,20250827,3.3845,1.6292,2.118,6.19,0.5569,0.3898,2.48,51.86,0.6522,-2.3977
000062.SZ,20250331,20250429,1.5073,0.721,0.9372,6.02,0.5501,0.3851,2.41,52.17,0.3063,-7.2805
000062.SZ,20250331,20250429,1.5073,0.721,0.9372,6.02,0.5501,0.3851,2.41,52.17,0.3063,-7.2805
000063.SZ,20250930,20251029,7.1967,2.5273,3.2855,13.29,0.3248,0.2273,5.32,64.88,0.4764,0.6652
000063.SZ,20250630,20250829,6.8509,2.3789,3.0925,17.67,0.3192,0.2234,7.07,65.28,0.3378,0.7453
000063.SZ,20250331,20250423,3.3815,1.1261,1.4639,18.69,0.2996,0.2097,7.47,66.7,0.1551,0.2412
000063.SZ,20241231,20250301,11.9656,4.2195,5.4854,17.22,0.3268,0.2288,6.89,64.74,0.5942,-0.3636
000065.SZ,20250930,20251031,4.9358,2.1287,2.7673,12.23,0.455,0.3185,4.89,56.87,0.3987,-0.822
000065.SZ,20250630,20250822,3.1681,1.3862,1.8021,11.19,0.4668,0.3267,4.48,56.24,0.2734,0.5255
000065.SZ,20250331,20250428,1.8265,0.7811,1.0155,12.33,0.4483,0.3138,4.93,57.23,0.1476,-0.8289
000065.SZ,20250331,20250428,1.8265,0.7811,1.0155,12.33,0.4483,0.3138,4.93,57.23,0.1476,-0.8289
000066.SZ,20250930,20251030,0.1439,0.0552,0.0718,0.59,0.3737,0.2616,0.23,61.62,0.3192,
000066.SZ,20250630,20250830,1.2315,0.4712,0.6126,5.36,0.3719,0.2603,2.14,61.74,0.1961,7.0953
000066.SZ,20250331,20250428,-1.4388,-0.5387,-0.7003,-15.08,0.3591,0.2513,-6.03,62.56,0.088,2.558
000066.SZ,20241231,20250428,-12.363,-4.7167,-6.1317,-25.12,0.3701,0.2591,-10.05,61.85,0.4255,-1.1231
000068.SZ,20250930,20251030,-15.1555,-3.761,-4.8893,-46.77,0.198,0.1386,-18.71,75.18,0.128,-3.499
000068.SZ,20250630,20250829,-13.3298,-3.2149,-4.1794,-67.14,0.1907,0.1335,-26.86,75.88,0.0791,-2.8639
000068.SZ,20250331,20250425,-2.4752,-0.6157,-0.8004,-31.95,0.1987,0.1391,-12.78,75.13,0.0324,-6.2254
000068.SZ,20241231,20250315,1.8574,0.4882,0.6346,2.3,0.2139,0.1497,0.92,73.72,0.243,-14.2385
000069.SZ,20250930,20251031,-8.5478,-1.9458,-2.5296,-80.16,0.1768,0.1238,-32.06,77.24,0.0541,-2.0864
000069.SZ,20250630,20250830,-5.5351,-1.2677,-1.648,-81.28,0.1782,0.1248,-32.51,77.1,0.0355,-1.891
000069.SZ,20250331,20250429,-2.7062,-0.634,-0.8242,-81.91,0.1836,0.1285,-32.77,76.57,0.0167,-1.1347
000069.SZ,20250331,20250429,-2.7062,-0.634,-0.8242,-81.91,0.1836,0.1285,-32.77,76.57,0.0167,-1.1347
000070.SZ,20250930,20251027,0.5314,0.154,0.2002,8.35,0.2448,0.1714,3.34,71.02,0.4625,
000070.SZ,20250630,20250828,0.3723,0.1119,0.1455,9.34,0.2578,0.1805,3.74,69.95,0.2936,
000070.SZ,20250630,20250828,0.3723,0.1119,0.1455,9.34,0.2578,0.1805,3.74,69.95,0.2936,
000070.SZ,20250331,20250429,-1.0079,-0.3082,-0.4007,1.06,0.2643,0.185,0.42,69.42,0.1197,11.497
000078.SZ,20250930,20251030,1.421,0.1482,0.1927,0.79,0.0699,0.0489,0.32,89.57,0.7673,
000078.SZ,20250630,20250830,1.7479,0.1801,0.2341,1.13,0.0689,0.0482,0.45,89.7,0.5069,
000078.SZ,20250630,20250830,1.7479,0.1801,0.2341,1.13,0.0689,0.0482,0.45,89.7,0.5069,-0.8417
000078.SZ,20250331,20250429,1.3124,0.1344,0.1747,1.79,0.0685,0.0479,0.72,89.76,0.257,
000088.SZ,20250930,20251030,5.9495,4.8538,6.3099,447.14,2.6579,1.8606,178.86,18.42,0.0248,0.7738
000088.SZ,20250630,20250830,3.6721,2.9824,3.8771,433.03,2.5944,1.8161,173.21,18.78,0.0157,0.8346
000088.SZ,20250331,20250429,1.7356,1.328,1.7264,465.89,1.9547,1.3683,186.36,23.49,0.0067,0.8883
000088.SZ,20250331,20250429,1.7356,1.328,1.7264,465.89,1.9547,1.3683,186.36,23.49,0.0067,0.8883
000089.SZ,20250930,20251025,4.084,1.9664,2.5563,30.48,0.5571,0.39,12.19,51.85,0.1592,-2.2628
000089.SZ,20250630,20250816,2.7426,1.2982,1.6877,30.88,0.5393,0.3775,12.35,52.66,0.1046,-2.5493
000089.SZ,20250331,20250425,1.4245,0.6711,0.8725,32.47,0.5345,0.3742,12.99,52.89,0.0516,-4.2116
000089.SZ,20241231,20250425,3.944,1.8551,2.4117,23.32,0.5329,0.373,9.33,52.96,0.1961,-3.3023
000090.SZ,20250930,20251028,0.1385,0.0325,0.0423,-0.47,0.1843,0.129,-0.19,76.5,0.1565,
000090.SZ,20250630,20250823,0.2862,0.0701,0.0911,0.26,0.1945,0.1362,0.11,75.52,0.1008,
000090.SZ,20250331,20250429,0.2762,0.0671,0.0872,1.17,0.1926,0.1348,0.47,75.7,0.0459,40.4676
000090.SZ,20250331,20250429,0.2762,0.0671,0.0872,1.17,0.1926,0.1348,0.47,75.7,0.0459,40.4676
000096.SZ,20250930,20251031,1.0958,0.9169,1.192,7.82,3.0755,2.1529,3.13,16.32,0.3258,3.8244
000096.SZ,20250630,20250827,0.3344,0.3049,0.3964,3.74,6.2033,4.3423,1.5,8.82,0.2282,9.4915
000096.SZ,20250331,20250430,0.5157,0.4865,0.6325,11.49,9.9996,6.9997,4.6,5.66,0.1089,3.9055
000096.SZ,20250331,20250430,0.5157,0.4865,0.6325,11.49,9.9996,6.9997,4.6,5.66,0.1089,3.9055
000099.SZ,20250930,20251030,4.5344,3.2465,4.2205,36.38,1.5125,1.0587,14.55,28.4,0.2197,-1.7964
000099.SZ,20250630,20250826,2.8675,2.1305,2.7697,35.75,1.7345,1.2141,14.3,25.7,0.1436,-2.3526
000099.SZ,20250331,20250429,1.6994,1.3112,1.7045,44.89,2.0263,1.4184,17.96,22.85,0.0697,-2.8367
000099.SZ,20250331,20250429,1.6994,1.3112,1.7045,44.89,2.0263,1.4184,17.96,22.85,0.0697,-2.8367
000100.SZ,20250930,20251031,5.3407,1.7313,2.2507,0.89,0.2878,0.2015,0.35,67.58,0.3581,-9.1415
000100.SZ,20250630,20250830,3.5284,1.1396,1.4815,0.09,0.2862,0.2004,0.04,67.7,0.22,-13.3235
000100.SZ,20250331,20250429,1.8976,0.6239,0.8111,1.29,0.2939,0.2057,0.52,67.12,0.1031,-10.7982
000100.SZ,20241231,20250429,2.9487,1.0345,1.3449,-6.3,0.3243,0.227,-2.52,64.92,0.4335,-17.6734
000151.SZ,20250930,20251025,-8.0737,-0.8541,-1.1103,-10.31,0.071,0.0497,-4.13,89.42,0.3634,2.0571
000151.SZ,20250630,20250830,-16.4618,-1.4371,-1.8682,-31.28,0.0574,0.0402,-12.51,91.27,0.2303,
000151.SZ,20250630,20250830,-16.4618,-1.4371,-1.8682,-31.28,0.0574,0.0402,-12.51,91.27,0.2303,1.1831
000151.SZ,20250331,20250424,-7.8495,-0.8753,-1.1378,-25.13,0.0753,0.0527,-10.05,88.85,0.1075,0.661
